* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
*         POST/PLOT FILE OF CONCURRENT  1-HR VALUES FOR SOURCE GROUP: ALL     
*         FOR A TOTAL OF     2 RECEPTORS.
*         FORMAT: (3(1X,F13.5),3(1X,F8.2),2X,A6,2X,A8,2X,I8.8,2X,A8)                                                                                                                                                      
*        X             Y      AVERAGE CONC    ZELEV    ZHILL    ZFLAG    AVE     GRP       DATE     NET ID
* ____________  ____________  ____________   ______   ______   ______  ______  ________  ________  ________
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010101          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010101          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010102          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010102          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010103          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010103          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010104          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010104          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010105          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010105          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010106          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010106          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010107          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010107          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010108          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010108          
  499990.00000 8341510.00000       0.05896   500.00   500.00     1.50    1-HR  ALL       16010109          
  500020.00000 8341827.00000       1.21474   500.00   500.00     1.50    1-HR  ALL       16010109          
  499990.00000 8341510.00000       0.28338   500.00   500.00     1.50    1-HR  ALL       16010110          
  500020.00000 8341827.00000       9.19599   500.00   500.00     1.50    1-HR  ALL       16010110          
  499990.00000 8341510.00000       0.24489   500.00   500.00     1.50    1-HR  ALL       16010111          
  500020.00000 8341827.00000      12.92679   500.00   500.00     1.50    1-HR  ALL       16010111          
  499990.00000 8341510.00000       0.23632   500.00   500.00     1.50    1-HR  ALL       16010112          
  500020.00000 8341827.00000      14.02233   500.00   500.00     1.50    1-HR  ALL       16010112          
  499990.00000 8341510.00000       0.34205   500.00   500.00     1.50    1-HR  ALL       16010113          
  500020.00000 8341827.00000      18.33449   500.00   500.00     1.50    1-HR  ALL       16010113          
  499990.00000 8341510.00000       0.22244   500.00   500.00     1.50    1-HR  ALL       16010114          
  500020.00000 8341827.00000      12.54302   500.00   500.00     1.50    1-HR  ALL       16010114          
  499990.00000 8341510.00000       0.08516   500.00   500.00     1.50    1-HR  ALL       16010115          
  500020.00000 8341827.00000       3.07200   500.00   500.00     1.50    1-HR  ALL       16010115          
  499990.00000 8341510.00000       0.02930   500.00   500.00     1.50    1-HR  ALL       16010116          
